Date,Description,Amount,Type,Merchant_Category,Predicted_Label
2024-01-01,Salary credited from INFOSYS LTD,50000.0,CREDIT,Salary,Income
2024-01-05,Interest credited on Savings Account,350.0,CREDIT,Interest,Income
2024-01-10,Dividend from Mutual Fund,1200.0,CREDIT,Investment,Income
2024-01-15,Refund from Amazon,1500.0,CREDIT,Refund,Income
2024-01-20,NEFT/RTGS from CLIENT PAYMENT,20000.0,CREDIT,Client,Income
2024-01-25,UPI/CR/1234567890/John Doe/ICICI/Salary,60000.0,CREDIT,Salary,Income
2024-01-28,ACH/ABB Dividend 2024/73PR25051505AI07,33.5,CREDIT,Investment,Income
2024-01-30,BY TRANSFER-UPI/CR/445964809868/Employer/SBIN/Salary,55000.0,CREDIT,Salary,Income
2024-02-01,Consulting payment from ABC Corp,25000.0,CREDIT,Consulting,Income
2024-02-05,Scholarship credited by University,12000.0,CREDIT,Scholarship,Income
2024-02-10,Royalty payment from Publisher,10000.0,CREDIT,Royalty,Income
2024-02-15,Gift received from Family,5000.0,CREDIT,Gift,Income
2024-02-20,Award for best employee,8000.0,CREDIT,Award,Income
2024-03-01,Closure Proceeds FD 123456,25000.0,CREDIT,Savings,Savings
2024-03-05,Closure Proceeds RD 654321,12000.0,CREDIT,Savings,Savings
2024-03-10,Transfer from own account via UPI,10000.0,CREDIT,Transfer,Savings
2024-03-15,Maturity proceeds of PPF,50000.0,CREDIT,Savings,Savings
2024-03-20,BY TRANSFER-UPI/CR/445964809868/Self/SBIN/Savings,8000.0,CREDIT,Savings,Savings
2024-03-25,FD Opening at HDFC Bank,20000.0,DEBIT,Investment,Savings
2024-03-28,SIP Mutual Fund Investment,5000.0,DEBIT,Investment,Savings
2024-03-30,PPF Deposit,7000.0,DEBIT,Investment,Savings
2024-04-01,LIC Premium Payment,3000.0,DEBIT,Insurance,Savings
2024-04-05,NPS Contribution,4000.0,DEBIT,Investment,Savings
